rule,comparison,metric,unit,block_len_days,n_days,n_boot,seed,confidence_level,ci_method,point_diff,boot_mean_diff,ci_lo,ci_hi,frac_resamples_gt0,ci_excludes_zero_95,interpretation,note
⓪운영설정,B-A,sharpe,연율화 Sharpe 차 (무차원),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.095,0.0895,-0.1539,0.3209,0.762,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,B-A,mdd,최대낙폭 차 (-0.05 = 낙폭이 5%p 더 깊음),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.023,0.0032,-0.0498,0.0563,0.54,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,탐색 지표 — 블록 연결/경로 재구성에 민감
⓪운영설정,C-B,cum,누적수익 배수 차 (0.1442 = +14.42%p),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),-0.0412,-0.0586,-1.0991,0.9036,0.449,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-B,cagr,연복리수익률 차 (0.05 = +5%p),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),-0.0074,-0.0084,-0.138,0.1198,0.449,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-B,sharpe,연율화 Sharpe 차 (무차원),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),-0.0213,-0.0209,-0.3211,0.2879,0.4455,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-B,mdd,최대낙폭 차 (-0.05 = 낙폭이 5%p 더 깊음),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),-0.0076,0.0031,-0.0589,0.0707,0.5435,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,탐색 지표 — 블록 연결/경로 재구성에 민감
⓪운영설정,C-B,cum,누적수익 배수 차 (0.1442 = +14.42%p),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),-0.0412,-0.0875,-1.3098,0.7764,0.445,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-B,cagr,연복리수익률 차 (0.05 = +5%p),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),-0.0074,-0.01,-0.1468,0.1149,0.445,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-B,sharpe,연율화 Sharpe 차 (무차원),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),-0.0213,-0.0203,-0.3057,0.2895,0.4385,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-B,mdd,최대낙폭 차 (-0.05 = 낙폭이 5%p 더 깊음),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),-0.0076,0.0058,-0.0529,0.0684,0.601,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,탐색 지표 — 블록 연결/경로 재구성에 민감
⓪운영설정,C-B,cum,누적수익 배수 차 (0.1442 = +14.42%p),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),-0.0412,-0.1088,-1.4913,0.6681,0.459,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-B,cagr,연복리수익률 차 (0.05 = +5%p),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),-0.0074,-0.0099,-0.1508,0.1076,0.459,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-B,sharpe,연율화 Sharpe 차 (무차원),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),-0.0213,-0.015,-0.3047,0.3016,0.448,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-B,mdd,최대낙폭 차 (-0.05 = 낙폭이 5%p 더 깊음),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),-0.0076,0.0094,-0.0403,0.0689,0.6605,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,탐색 지표 — 블록 연결/경로 재구성에 민감
⓪운영설정,C-A,cum,누적수익 배수 차 (0.1442 = +14.42%p),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.103,0.1198,-0.5955,1.0506,0.637,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-A,cagr,연복리수익률 차 (0.05 = +5%p),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0187,0.0192,-0.0916,0.132,0.637,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-A,sharpe,연율화 Sharpe 차 (무차원),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0737,0.0737,-0.1932,0.3409,0.708,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-A,mdd,최대낙폭 차 (-0.05 = 낙폭이 5%p 더 깊음),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0154,0.0113,-0.0568,0.0781,0.657,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,탐색 지표 — 블록 연결/경로 재구성에 민감
⓪운영설정,C-A,cum,누적수익 배수 차 (0.1442 = +14.42%p),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.103,0.1072,-0.6775,0.9824,0.6335,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-A,cagr,연복리수익률 차 (0.05 = +5%p),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0187,0.018,-0.0941,0.128,0.6335,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-A,sharpe,연율화 Sharpe 차 (무차원),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0737,0.0712,-0.192,0.3415,0.6975,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-A,mdd,최대낙폭 차 (-0.05 = 낙폭이 5%p 더 깊음),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0154,0.0128,-0.0522,0.0792,0.675,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,탐색 지표 — 블록 연결/경로 재구성에 민감
⓪운영설정,C-A,cum,누적수익 배수 차 (0.1442 = +14.42%p),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.103,0.097,-0.7276,0.9078,0.632,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-A,cagr,연복리수익률 차 (0.05 = +5%p),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0187,0.0184,-0.0984,0.1286,0.632,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-A,sharpe,연율화 Sharpe 차 (무차원),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0737,0.0745,-0.1922,0.3537,0.701,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
⓪운영설정,C-A,mdd,최대낙폭 차 (-0.05 = 낙폭이 5%p 더 깊음),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0154,0.0126,-0.0491,0.0777,0.639,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,탐색 지표 — 블록 연결/경로 재구성에 민감
①손절15+모멘텀0,B-A,cum,누적수익 배수 차 (0.1442 = +14.42%p),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.1171,0.068,-2.4189,2.3639,0.565,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
①손절15+모멘텀0,B-A,cagr,연복리수익률 차 (0.05 = +5%p),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0207,0.0169,-0.244,0.2916,0.565,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
①손절15+모멘텀0,B-A,sharpe,연율화 Sharpe 차 (무차원),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0593,0.0625,-0.3729,0.5247,0.6055,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
①손절15+모멘텀0,B-A,mdd,최대낙폭 차 (-0.05 = 낙폭이 5%p 더 깊음),10,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0361,0.0134,-0.0967,0.1303,0.5905,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,탐색 지표 — 블록 연결/경로 재구성에 민감
①손절15+모멘텀0,B-A,cum,누적수익 배수 차 (0.1442 = +14.42%p),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.1171,0.1082,-2.6459,2.6891,0.56,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
①손절15+모멘텀0,B-A,cagr,연복리수익률 차 (0.05 = +5%p),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0207,0.0205,-0.2524,0.3124,0.56,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
①손절15+모멘텀0,B-A,sharpe,연율화 Sharpe 차 (무차원),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0593,0.0703,-0.3811,0.5877,0.6045,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
①손절15+모멘텀0,B-A,mdd,최대낙폭 차 (-0.05 = 낙폭이 5%p 더 깊음),20,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0361,0.0168,-0.0885,0.1444,0.6065,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,탐색 지표 — 블록 연결/경로 재구성에 민감
①손절15+모멘텀0,B-A,cum,누적수익 배수 차 (0.1442 = +14.42%p),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.1171,0.0175,-3.1262,2.6172,0.5335,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
①손절15+모멘텀0,B-A,cagr,연복리수익률 차 (0.05 = +5%p),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0207,0.015,-0.2729,0.319,0.5335,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
①손절15+모멘텀0,B-A,sharpe,연율화 Sharpe 차 (무차원),40,752,2000,20260910,0.95,percentile (2.5 / 97.5),0.0593,0.0693,-0.3475,0.6162,0.575,False,frac_resamples_gt0 = 재표집 2000회 중 차이가 양수로 나온 비율. '진짜 우위일 확률'도 '실전 성공 확률'도 p-value 도 아니다. CI 가 0 을 포함한다는 것은 '이 표본으로는 부호를 가릴 수 없다'는 뜻이며 동등성·무효과의 증거가 아니다 — 동등성을 주장하려면 사전에 정한 동등성 마진과 TOST 같은 절차가 따로 필요하다.,
